Estado,Fecha,Año,Mes,Temperatura,Precipitacion,Humedad,PM25,PM10,O3,NO2,SO2,CO,Poblacion,Densidad_Poblacional,Poblacion_Vulnerable_Pct,Casos_Respiratorios
Aguascalientes,2022-03-01,2022,3,11.82,23.64,49.83,18.11,31.19,0.03915,0.03351,0.01427,0.81,1425607,253.76,11.5,4537
Baja California,2022-03-01,2022,3,15.58,21.8,52.74,20.77,46.12,0.03269,0.03659,0.0186,1.022,3769020,52.75,10.2,11052
Baja California Sur,2022-03-01,2022,3,19.88,6.01,48.34,14.74,22.64,0.03741,0.02122,0.01318,0.688,798447,10.8,9.8,1876
Campeche,2022-03-01,2022,3,22.74,33.76,48.23,4.91,18.71,0.03751,0.00626,0.00341,0.239,928363,16.03,12.0,1809
Chiapas,2022-03-01,2022,3,19.9,55.42,54.24,15.9,35.9,0.03011,0.02594,0.01438,0.731,5543828,75.64,14.5,15302
Chihuahua,2022-03-01,2022,3,9.48,9.33,25.98,10.14,11.57,0.03119,0.01609,0.00816,0.539,3741869,15.12,11.8,11061
Coahuila,2022-03-01,2022,3,16.17,10.81,20.91,15.3,40.26,0.03978,0.02493,0.01404,0.638,3146771,20.76,11.0,9021
Colima,2022-03-01,2022,3,21.58,21.42,45.56,14.82,22.02,0.0349,0.02465,0.0141,0.704,731391,130.03,12.5,1702
CDMX,2022-03-01,2022,3,12.05,37.58,47.19,28.71,50.27,0.03071,0.04679,0.02213,1.414,9209944,6160.5,14.2,37525
Durango,2022-03-01,2022,3,13.71,47.43,47.11,15.76,26.96,0.03382,0.0277,0.01487,0.72,1832650,14.86,12.0,5329
Guanajuato,2022-03-01,2022,3,12.64,31.73,47.69,24.13,40.18,0.03798,0.04009,0.0218,1.197,6166934,201.49,12.2,21055
Guerrero,2022-03-01,2022,3,23.09,14.86,40.6,16.44,35.19,0.03653,0.02536,0.01362,0.758,3540685,55.67,13.8,8815
Hidalgo,2022-03-01,2022,3,12.73,15.21,36.57,17.35,26.13,0.03227,0.02948,0.01429,0.643,3082841,148.12,13.0,10729
Jalisco,2022-03-01,2022,3,18.12,11.99,45.56,23.55,48.32,0.03146,0.03852,0.01789,0.976,8348151,106.23,12.4,26142
Edomex,2022-03-01,2022,3,11.33,25.45,46.84,28.52,51.19,0.03076,0.05038,0.02526,1.205,16992418,760.05,11.9,64858
Michoacán,2022-03-01,2022,3,18.33,42.22,43.7,20.35,42.87,0.03598,0.03292,0.01573,0.972,4748846,81.04,13.2,14837
Morelos,2022-03-01,2022,3,17.93,32.16,48.43,10.82,20.55,0.0341,0.01707,0.01019,0.487,1971520,404.08,13.5,5111
Nayarit,2022-03-01,2022,3,20.73,33.36,48.28,10.44,23.01,0.03601,0.01652,0.01071,0.592,1235456,44.42,12.8,2639
Nuevo León,2022-03-01,2022,3,18.93,23.17,46.82,23.8,42.49,0.03553,0.0377,0.01963,1.081,5784442,90.16,10.8,16654
Oaxaca,2022-03-01,2022,3,17.94,8.47,43.9,14.64,19.16,0.03278,0.01845,0.01201,0.766,4132148,44.07,14.8,10564
Puebla,2022-03-01,2022,3,12.36,27.44,50.78,20.34,20.11,0.03437,0.03354,0.0146,1.128,6583278,191.9,12.6,21584
Querétaro,2022-03-01,2022,3,11.98,24.04,52.33,20.57,25.92,0.03453,0.0346,0.01793,0.976,2368467,202.71,11.2,7903
Quintana Roo,2022-03-01,2022,3,23.89,46.04,61.35,11.5,20.94,0.03418,0.0192,0.00819,0.395,1857985,41.56,9.5,3748
San Luis Potosí,2022-03-01,2022,3,17.63,20.57,47.92,14.43,17.86,0.031,0.02248,0.01342,0.682,2822255,46.16,12.5,7801
Sinaloa,2022-03-01,2022,3,21.99,20.48,32.94,13.07,24.69,0.03621,0.02585,0.01242,0.527,3026943,52.77,12.0,6761
Sonora,2022-03-01,2022,3,15.79,3.03,29.32,12.03,40.54,0.0306,0.02231,0.01053,0.476,2944840,16.42,11.2,8263
Tabasco,2022-03-01,2022,3,23.54,57.86,64.45,11.7,17.13,0.03597,0.0209,0.00908,0.527,2402598,97.15,12.5,5002
Tamaulipas,2022-03-01,2022,3,20.27,15.34,57.32,17.1,21.68,0.03317,0.0305,0.01384,0.536,3527735,44.0,11.5,8546
Tlaxcala,2022-03-01,2022,3,9.52,26.2,48.62,16.85,34.59,0.03325,0.0282,0.01463,0.721,1342977,336.5,12.2,4828
Veracruz,2022-03-01,2022,3,20.56,32.75,60.22,15.46,21.61,0.03388,0.02556,0.01317,0.762,8062579,112.26,13.5,20399
Yucatán,2022-03-01,2022,3,23.07,13.81,60.24,8.85,8.05,0.03241,0.01471,0.0067,0.493,2320898,58.72,12.5,4352
Zacatecas,2022-03-01,2022,3,9.26,15.86,45.58,11.36,27.23,0.03546,0.02114,0.01107,0.474,1622138,21.55,12.8,5271
Aguascalientes,2022-04-01,2022,4,17.43,40.43,45.26,13.61,23.42,0.04116,0.01895,0.01088,0.467,1425607,253.76,11.5,3902
Baja California,2022-04-01,2022,4,21.02,69.3,66.9,17.69,39.59,0.04601,0.02529,0.01444,0.74,3769020,52.75,10.2,9233
Baja California Sur,2022-04-01,2022,4,23.44,16.67,48.01,6.87,8.94,0.03857,0.01003,0.00466,0.392,798447,10.8,9.8,1261
Campeche,2022-04-01,2022,4,26.88,101.23,57.07,10.96,16.84,0.04113,0.01416,0.00812,0.316,928363,16.03,12.0,1503
Chiapas,2022-04-01,2022,4,26.41,82.53,57.71,13.47,24.81,0.04012,0.02202,0.00995,0.618,5543828,75.64,14.5,10941
Chihuahua,2022-04-01,2022,4,16.23,14.66,38.79,9.73,23.12,0.03918,0.01491,0.00694,0.526,3741869,15.12,11.8,8614
Coahuila,2022-04-01,2022,4,20.57,49.28,32.45,17.84,18.66,0.04703,0.02991,0.01582,0.757,3146771,20.76,11.0,7520
Colima,2022-04-01,2022,4,25.58,50.88,41.72,12.31,17.28,0.04653,0.01668,0.01079,0.641,731391,130.03,12.5,1504
CDMX,2022-04-01,2022,4,17.39,52.0,52.2,25.41,48.29,0.04619,0.03787,0.01947,1.008,9209944,6160.5,14.2,32798
Durango,2022-04-01,2022,4,16.97,43.58,59.47,11.07,24.51,0.0454,0.01963,0.00929,0.441,1832650,14.86,12.0,4499
Guanajuato,2022-04-01,2022,4,19.39,47.73,53.98,19.55,31.34,0.03935,0.03194,0.01442,0.953,6166934,201.49,12.2,16889
Guerrero,2022-04-01,2022,4,25.63,46.58,58.79,8.37,8.62,0.0465,0.00969,0.00725,0.214,3540685,55.67,13.8,5961
Hidalgo,2022-04-01,2022,4,18.23,51.23,49.02,12.38,20.58,0.03772,0.01796,0.00969,0.464,3082841,148.12,13.0,8064
Jalisco,2022-04-01,2022,4,19.9,32.94,62.38,19.82,42.08,0.03986,0.03101,0.01509,0.69,8348151,106.23,12.4,24050
Edomex,2022-04-01,2022,4,13.81,50.64,51.97,23.82,50.32,0.04175,0.03466,0.01865,0.978,16992418,760.05,11.9,60830
Michoacán,2022-04-01,2022,4,23.35,59.82,46.7,10.22,15.36,0.0439,0.01883,0.00662,0.295,4748846,81.04,13.2,9720
Morelos,2022-04-01,2022,4,23.81,61.97,53.46,12.33,22.08,0.04165,0.01767,0.01124,0.5,1971520,404.08,13.5,4787
Nayarit,2022-04-01,2022,4,25.69,33.37,51.78,7.35,13.85,0.03817,0.00969,0.01036,0.396,1235456,44.42,12.8,2264
Nuevo León,2022-04-01,2022,4,21.25,55.27,62.85,17.11,39.41,0.04347,0.02344,0.01268,0.59,5784442,90.16,10.8,14732
Oaxaca,2022-04-01,2022,4,21.32,67.32,65.36,11.79,27.66,0.04452,0.0216,0.01092,0.427,4132148,44.07,14.8,9114
Puebla,2022-04-01,2022,4,17.24,57.83,51.78,22.79,46.55,0.03936,0.0333,0.01843,1.007,6583278,191.9,12.6,19865
Querétaro,2022-04-01,2022,4,18.66,63.27,54.41,14.79,25.74,0.03825,0.02074,0.01128,0.521,2368467,202.71,11.2,6428
Quintana Roo,2022-04-01,2022,4,26.21,49.72,72.3,11.68,27.65,0.04351,0.01957,0.00933,0.531,1857985,41.56,9.5,3128
San Luis Potosí,2022-04-01,2022,4,20.06,48.35,51.98,11.29,23.49,0.04051,0.01805,0.00917,0.56,2822255,46.16,12.5,6865
Sinaloa,2022-04-01,2022,4,22.84,48.17,50.96,12.01,28.46,0.04597,0.01608,0.00931,0.384,3026943,52.77,12.0,6476
Sonora,2022-04-01,2022,4,22.74,16.62,37.56,11.99,23.97,0.03984,0.01682,0.00895,0.493,2944840,16.42,11.2,5921
Tabasco,2022-04-01,2022,4,28.66,94.88,75.94,10.18,25.25,0.03855,0.01497,0.00754,0.29,2402598,97.15,12.5,4585
Tamaulipas,2022-04-01,2022,4,23.02,61.32,58.44,15.9,36.99,0.03942,0.02239,0.0115,0.593,3527735,44.0,11.5,8520
Tlaxcala,2022-04-01,2022,4,15.05,61.39,62.83,17.33,36.1,0.04567,0.02412,0.01572,0.719,1342977,336.5,12.2,4189
Veracruz,2022-04-01,2022,4,21.97,113.09,75.9,10.89,24.31,0.03764,0.01532,0.00955,0.527,8062579,112.26,13.5,17935
Yucatán,2022-04-01,2022,4,24.5,51.03,72.91,10.91,16.68,0.04137,0.01558,0.00984,0.385,2320898,58.72,12.5,4782
Zacatecas,2022-04-01,2022,4,18.47,32.81,49.66,11.45,23.67,0.04258,0.01731,0.00922,0.537,1622138,21.55,12.8,4019
Aguascalientes,2022-05-01,2022,5,22.45,71.07,70.66,9.02,7.78,0.05122,0.01079,0.00773,0.222,1425607,253.76,11.5,2758
Baja California,2022-05-01,2022,5,23.53,78.1,64.09,11.43,17.13,0.05162,0.01485,0.00916,0.508,3769020,52.75,10.2,7327
Baja California Sur,2022-05-01,2022,5,26.29,18.31,67.83,6.95,15.59,0.04456,0.01006,0.0071,0.188,798447,10.8,9.8,1294
Campeche,2022-05-01,2022,5,29.11,164.38,65.55,6.03,17.9,0.04514,0.01065,0.00473,0.1,928363,16.03,12.0,1452
Chiapas,2022-05-01,2022,5,28.34,145.14,69.97,9.77,18.36,0.048,0.01483,0.00718,0.251,5543828,75.64,14.5,10150
Chihuahua,2022-05-01,2022,5,24.4,19.08,42.56,5.49,12.45,0.0495,0.00607,0.00543,0.13,3741869,15.12,11.8,6827
Coahuila,2022-05-01,2022,5,29.07,91.75,45.26,9.88,9.19,0.04362,0.01372,0.00854,0.247,3146771,20.76,11.0,5090
Colima,2022-05-01,2022,5,28.55,63.82,68.31,5.39,5.46,0.04901,0.00985,0.00394,0.1,731391,130.03,12.5,1183
CDMX,2022-05-01,2022,5,22.65,89.93,62.34,19.25,34.67,0.04674,0.02559,0.0137,0.625,9209944,6160.5,14.2,26899
Durango,2022-05-01,2022,5,25.52,75.77,54.9,8.11,18.65,0.05121,0.00741,0.00675,0.182,1832650,14.86,12.0,2948
Guanajuato,2022-05-01,2022,5,23.92,89.31,68.0,16.52,30.44,0.04345,0.02364,0.01213,0.555,6166934,201.49,12.2,13947
Guerrero,2022-05-01,2022,5,29.55,86.05,60.16,12.48,26.11,0.04648,0.01707,0.00972,0.254,3540685,55.67,13.8,6483
Hidalgo,2022-05-01,2022,5,22.97,80.76,68.95,8.45,13.08,0.05023,0.01147,0.0089,0.163,3082841,148.12,13.0,6556
Jalisco,2022-05-01,2022,5,23.41,68.74,68.53,16.17,35.44,0.04847,0.02197,0.01308,0.491,8348151,106.23,12.4,19773
Edomex,2022-05-01,2022,5,20.79,71.24,68.98,19.1,39.79,0.04909,0.02747,0.014,0.588,16992418,760.05,11.9,45654
Michoacán,2022-05-01,2022,5,25.14,61.21,58.94,10.04,19.42,0.04446,0.0152,0.00765,0.475,4748846,81.04,13.2,9844
Morelos,2022-05-01,2022,5,26.22,58.38,72.3,6.86,16.6,0.04742,0.00709,0.00528,0.177,1971520,404.08,13.5,3686
Nayarit,2022-05-01,2022,5,28.39,71.81,63.48,8.02,9.49,0.04415,0.01351,0.00582,0.45,1235456,44.42,12.8,2292
Nuevo León,2022-05-01,2022,5,24.3,86.31,59.44,20.33,36.29,0.04617,0.02986,0.01468,0.624,5784442,90.16,10.8,13890
Oaxaca,2022-05-01,2022,5,25.18,81.41,61.57,9.19,18.96,0.04324,0.00928,0.00775,0.265,4132148,44.07,14.8,6952
Puebla,2022-05-01,2022,5,23.47,69.55,61.29,16.3,36.06,0.04484,0.02069,0.01161,0.605,6583278,191.9,12.6,15138
Querétaro,2022-05-01,2022,5,23.25,65.0,73.63,7.98,14.22,0.05069,0.01151,0.00556,0.252,2368467,202.71,11.2,4760
Quintana Roo,2022-05-01,2022,5,29.79,62.34,83.68,2.96,14.01,0.04505,0.00765,0.0014,0.1,1857985,41.56,9.5,2664
San Luis Potosí,2022-05-01,2022,5,23.34,91.09,65.89,12.0,19.93,0.05075,0.01459,0.01187,0.416,2822255,46.16,12.5,5787
Sinaloa,2022-05-01,2022,5,29.19,68.66,62.65,8.36,16.56,0.04432,0.01415,0.00655,0.413,3026943,52.77,12.0,5886
Sonora,2022-05-01,2022,5,28.14,16.74,51.38,12.45,17.42,0.04461,0.01687,0.00929,0.438,2944840,16.42,11.2,5390
Tabasco,2022-05-01,2022,5,30.8,159.9,85.47,9.9,20.59,0.04524,0.01107,0.00684,0.436,2402598,97.15,12.5,4483
Tamaulipas,2022-05-01,2022,5,25.05,86.91,57.55,18.14,39.02,0.0516,0.02851,0.01368,0.603,3527735,44.0,11.5,6983
Tlaxcala,2022-05-01,2022,5,20.96,91.06,69.26,10.95,27.66,0.05001,0.01571,0.00937,0.374,1342977,336.5,12.2,2949
Veracruz,2022-05-01,2022,5,26.3,155.93,83.81,9.33,13.43,0.05277,0.01028,0.00452,0.42,8062579,112.26,13.5,15040
Yucatán,2022-05-01,2022,5,31.12,68.08,84.29,9.55,19.53,0.049,0.0123,0.00626,0.318,2320898,58.72,12.5,4319
Zacatecas,2022-05-01,2022,5,21.56,54.56,58.32,8.49,14.14,0.05137,0.01114,0.0061,0.441,1622138,21.55,12.8,3594
Aguascalientes,2022-06-01,2022,6,27.41,97.78,69.66,8.46,16.64,0.04987,0.00912,0.00566,0.278,1425607,253.76,11.5,2848
Baja California,2022-06-01,2022,6,24.57,107.64,67.19,16.3,25.78,0.04877,0.01988,0.01118,0.323,3769020,52.75,10.2,8090
Baja California Sur,2022-06-01,2022,6,27.49,20.91,73.17,5.59,5.15,0.0454,0.00559,0.00255,0.438,798447,10.8,9.8,1028
Campeche,2022-06-01,2022,6,31.91,204.28,63.46,8.98,13.59,0.05046,0.01193,0.00641,0.171,928363,16.03,12.0,1711
Chiapas,2022-06-01,2022,6,30.81,223.16,66.09,10.12,19.69,0.04829,0.01422,0.00721,0.272,5543828,75.64,14.5,11633
Chihuahua,2022-06-01,2022,6,30.24,22.76,52.68,6.14,5.0,0.05016,0.00812,0.00407,0.16,3741869,15.12,11.8,5431
Coahuila,2022-06-01,2022,6,33.45,102.65,59.28,9.87,17.17,0.04709,0.01062,0.00797,0.292,3146771,20.76,11.0,5500
Colima,2022-06-01,2022,6,,,75.53,,,0.05034,0.00158,0.0015,0.1,731391,130.03,12.5,1106
CDMX,2022-06-01,2022,6,26.92,99.52,77.37,16.32,31.36,0.05483,0.01833,0.01135,0.41,9209944,6160.5,14.2,20094
Durango,2022-06-01,2022,6,28.06,80.66,76.99,7.62,22.21,0.04662,0.01111,0.00572,0.254,1832650,14.86,12.0,3359
Guanajuato,2022-06-01,2022,6,29.01,87.76,71.22,10.1,24.66,0.04735,0.01064,0.00773,0.209,6166934,201.49,12.2,12163
Guerrero,2022-06-01,2022,6,31.11,97.44,61.7,9.33,22.22,0.04633,0.01461,0.00683,0.319,3540685,55.67,13.8,6620
Hidalgo,2022-06-01,2022,6,25.34,97.81,77.16,13.41,19.01,0.05103,0.01861,0.00986,0.266,3082841,148.12,13.0,6390
Jalisco,2022-06-01,2022,6,26.3,88.09,75.87,11.9,28.06,0.05059,0.0156,0.0079,0.162,8348151,106.23,12.4,16502
Edomex,2022-06-01,2022,6,23.64,105.97,71.51,20.86,38.68,0.04803,0.02606,0.01627,0.574,16992418,760.05,11.9,41459
Michoacán,2022-06-01,2022,6,24.74,99.39,65.86,8.24,15.29,0.05377,0.00909,0.00665,0.1,4748846,81.04,13.2,9238
Morelos,2022-06-01,2022,6,27.5,70.6,65.08,10.9,7.77,0.04966,0.01422,0.00868,0.281,1971520,404.08,13.5,3449
Nayarit,2022-06-01,2022,6,30.64,75.98,71.91,12.51,23.25,0.05063,0.01583,0.00845,0.352,1235456,44.42,12.8,2453
Nuevo León,2022-06-01,2022,6,28.42,99.44,64.99,16.64,29.98,0.0454,0.02016,0.01309,0.542,5784442,90.16,10.8,12414
Oaxaca,2022-06-01,2022,6,26.22,101.54,68.29,7.17,11.35,0.05004,0.00835,0.00549,0.391,4132148,44.07,14.8,7580
Puebla,2022-06-01,2022,6,28.64,86.32,78.14,12.28,18.99,0.05493,0.02008,0.00889,0.475,6583278,191.9,12.6,13664
Querétaro,2022-06-01,2022,6,27.62,106.66,73.87,7.73,17.8,0.04822,0.00864,0.00555,0.347,2368467,202.71,11.2,4676
Quintana Roo,2022-06-01,2022,6,33.67,69.73,91.62,5.18,5.36,0.04655,0.00684,0.00315,0.211,1857985,41.56,9.5,2877
San Luis Potosí,2022-06-01,2022,6,26.84,98.38,77.45,8.34,12.05,0.04789,0.01141,0.00731,0.296,2822255,46.16,12.5,4906
Sinaloa,2022-06-01,2022,6,30.07,81.63,73.0,10.41,16.64,0.0465,0.01293,0.00828,0.287,3026943,52.77,12.0,5648
Sonora,2022-06-01,2022,6,34.45,23.51,61.44,9.15,16.49,0.05192,0.01205,0.00647,0.181,2944840,16.42,11.2,4558
Tabasco,2022-06-01,2022,6,31.01,220.73,82.92,5.48,11.44,0.05269,0.00717,0.00529,0.153,2402598,97.15,12.5,4598
Tamaulipas,2022-06-01,2022,6,27.29,101.91,71.57,7.65,5.0,0.04929,0.00928,0.00714,0.249,3527735,44.0,11.5,5246
Tlaxcala,2022-06-01,2022,6,24.46,101.99,80.69,13.1,16.27,0.05185,0.01879,0.00862,0.235,1342977,336.5,12.2,2851
Veracruz,2022-06-01,2022,6,28.6,199.77,89.14,4.55,10.98,0.0519,0.00735,0.00285,0.1,8062579,112.26,13.5,13418
Yucatán,2022-06-01,2022,6,29.66,99.5,87.52,8.02,9.42,0.05078,0.01068,0.00638,0.377,2320898,58.72,12.5,3856
Zacatecas,2022-06-01,2022,6,26.34,91.29,73.32,13.45,18.78,0.05051,0.0168,0.01038,0.352,1622138,21.55,12.8,3215
Aguascalientes,2022-07-01,2022,7,29.04,86.15,62.28,11.95,13.14,0.04879,0.01153,0.00989,0.43,1425607,253.76,11.5,2464
Baja California,2022-07-01,2022,7,25.73,76.69,72.1,9.76,17.1,0.04319,0.01321,0.0058,0.263,3769020,52.75,10.2,6305
Baja California Sur,2022-07-01,2022,7,29.07,22.05,73.92,5.45,15.24,0.04965,0.00446,0.00451,0.138,798447,10.8,9.8,1091
Campeche,2022-07-01,2022,7,35.18,227.47,73.24,5.82,7.25,0.04883,0.00754,0.00628,0.176,928363,16.03,12.0,1334
Chiapas,2022-07-01,2022,7,29.76,200.26,76.03,6.64,6.3,0.05101,0.00962,0.00334,0.1,5543828,75.64,14.5,9479
Chihuahua,2022-07-01,2022,7,32.73,27.07,55.34,5.51,14.61,0.05092,0.00798,0.00313,0.352,3741869,15.12,11.8,5704
Coahuila,2022-07-01,2022,7,34.44,113.89,57.75,5.51,11.82,0.0432,0.00707,0.00288,0.316,3146771,20.76,11.0,5175
Colima,2022-07-01,2022,7,33.13,113.97,72.36,8.81,10.61,0.05228,0.01282,0.0075,0.266,731391,130.03,12.5,1203
CDMX,2022-07-01,2022,7,30.34,114.87,77.78,15.1,25.78,0.04435,0.0151,0.01193,0.276,9209944,6160.5,14.2,21284
Durango,2022-07-01,2022,7,29.79,112.78,80.19,4.37,8.87,0.0447,0.00542,0.00296,0.1,1832650,14.86,12.0,2659
Guanajuato,2022-07-01,2022,7,31.79,77.55,73.75,8.39,9.59,0.0446,0.00945,0.00604,0.274,6166934,201.49,12.2,10852
Guerrero,2022-07-01,2022,7,31.56,93.93,68.01,10.05,19.43,0.04489,0.01279,0.00776,0.237,3540685,55.67,13.8,6796
Hidalgo,2022-07-01,2022,7,28.87,109.53,73.44,5.56,12.03,0.0439,0.00881,0.00496,0.314,3082841,148.12,13.0,4827
Jalisco,2022-07-01,2022,7,27.89,99.42,78.01,12.23,18.49,0.05283,0.01677,0.00797,0.387,8348151,106.23,12.4,16855
Edomex,2022-07-01,2022,7,25.71,79.39,74.29,11.6,30.72,0.04394,0.01553,0.009,0.239,16992418,760.05,11.9,36899
Michoacán,2022-07-01,2022,7,26.0,108.41,66.95,8.66,5.0,0.05248,0.00956,0.00585,0.253,4748846,81.04,13.2,7815
Morelos,2022-07-01,2022,7,27.08,89.4,73.92,9.52,8.24,0.05278,0.01081,0.00594,0.424,1971520,404.08,13.5,3572
Nayarit,2022-07-01,2022,7,31.1,113.91,72.56,6.28,27.38,0.04486,0.00991,0.00628,0.163,1235456,44.42,12.8,2244
Nuevo León,2022-07-01,2022,7,30.65,83.3,80.67,11.21,15.78,0.05011,0.01563,0.00841,0.366,5784442,90.16,10.8,10311
Oaxaca,2022-07-01,2022,7,27.24,78.81,82.31,4.34,5.0,0.04489,0.00397,0.00397,0.1,4132148,44.07,14.8,6154
Puebla,2022-07-01,2022,7,27.14,95.15,67.65,11.68,23.34,0.05097,0.01413,0.00833,0.431,6583278,191.9,12.6,13217
Querétaro,2022-07-01,2022,7,32.68,84.29,78.1,10.75,16.1,0.04644,0.01208,0.00694,0.333,2368467,202.71,11.2,4363
Quintana Roo,2022-07-01,2022,7,33.15,113.75,99.45,5.47,14.48,0.05205,0.00375,0.00344,0.224,1857985,41.56,9.5,2689
San Luis Potosí,2022-07-01,2022,7,29.57,102.44,75.07,5.45,10.54,0.04932,0.01087,0.00524,0.251,2822255,46.16,12.5,4276
Sinaloa,2022-07-01,2022,7,30.75,82.74,81.05,8.57,16.32,0.04511,0.00899,0.00572,0.18,3026943,52.77,12.0,5787
Sonora,2022-07-01,2022,7,34.19,22.19,58.28,6.24,5.0,0.04636,0.01052,0.00476,0.1,2944840,16.42,11.2,4774
Tabasco,2022-07-01,2022,7,34.48,202.73,90.52,6.15,7.08,0.04938,0.00874,0.00362,0.235,2402598,97.15,12.5,4095
Tamaulipas,2022-07-01,2022,7,30.12,78.35,71.58,12.26,32.55,0.04687,0.01171,0.00894,0.377,3527735,44.0,11.5,7010
Tlaxcala,2022-07-01,2022,7,27.16,100.22,76.36,10.52,27.78,0.0503,0.01275,0.00667,0.338,1342977,336.5,12.2,2791
Veracruz,2022-07-01,2022,7,28.77,236.04,92.72,10.62,14.7,0.05035,0.01298,0.00661,0.236,8062579,112.26,13.5,15836
Yucatán,2022-07-01,2022,7,35.14,81.41,88.3,3.73,11.69,0.0451,0.001,0.00404,0.1,2320898,58.72,12.5,3713
Zacatecas,2022-07-01,2022,7,28.59,96.78,70.58,5.2,14.26,0.04489,0.00471,0.0037,0.163,1622138,21.55,12.8,2973
Aguascalientes,2022-08-01,2022,8,26.59,105.16,72.15,11.53,19.29,0.04479,0.01499,0.00749,0.462,1425607,253.76,11.5,2848
Baja California,2022-08-01,2022,8,26.49,99.62,78.64,6.82,14.77,0.04662,0.00845,0.00496,0.15,3769020,52.75,10.2,6770
Baja California Sur,2022-08-01,2022,8,28.05,22.76,72.79,2.0,5.0,0.04007,0.001,0.00123,0.1,798447,10.8,9.8,1021
Campeche,2022-08-01,2022,8,31.05,213.56,73.03,7.47,9.76,0.04529,0.01103,0.00654,0.249,928363,16.03,12.0,1486
Chiapas,2022-08-01,2022,8,28.77,216.99,70.36,9.26,15.0,0.04441,0.00916,0.0082,0.231,5543828,75.64,14.5,9831
Chihuahua,2022-08-01,2022,8,28.6,19.23,64.74,7.65,9.07,0.0383,0.01164,0.00591,0.116,3741869,15.12,11.8,5839
Coahuila,2022-08-01,2022,8,32.96,87.55,52.59,10.47,22.9,0.04239,0.01473,0.00822,0.506,3146771,20.76,11.0,5713
Colima,2022-08-01,2022,8,28.31,91.73,76.48,6.06,5.0,0.04031,0.00679,0.00366,0.145,731391,130.03,12.5,1293
CDMX,2022-08-01,2022,8,25.74,85.95,75.05,19.62,43.22,0.03963,0.02658,0.01426,0.535,9209944,6160.5,14.2,24086
Durango,2022-08-01,2022,8,27.96,87.79,73.54,12.08,13.0,0.03841,0.01535,0.00946,0.383,1832650,14.86,12.0,2958
Guanajuato,2022-08-01,2022,8,31.63,92.32,78.68,12.89,17.13,0.03807,0.01809,0.01155,0.457,6166934,201.49,12.2,12150
Guerrero,2022-08-01,2022,8,31.59,70.93,73.23,7.22,19.26,0.04565,0.00719,0.00366,0.265,3540685,55.67,13.8,6548
Hidalgo,2022-08-01,2022,8,26.42,83.18,77.45,7.51,13.26,0.03944,0.00979,0.00664,0.108,3082841,148.12,13.0,5679
Jalisco,2022-08-01,2022,8,26.2,89.9,73.09,14.72,31.04,0.03855,0.01775,0.01062,0.404,8348151,106.23,12.4,17701
Edomex,2022-08-01,2022,8,25.49,78.46,74.29,11.11,19.91,0.04734,0.01384,0.00818,0.353,16992418,760.05,11.9,33492
Michoacán,2022-08-01,2022,8,24.76,99.31,75.44,9.42,12.59,0.0376,0.01079,0.00592,0.326,4748846,81.04,13.2,8777
Morelos,2022-08-01,2022,8,26.89,77.49,74.37,9.23,5.53,0.04355,0.01269,0.00868,0.352,1971520,404.08,13.5,3594
Nayarit,2022-08-01,2022,8,29.92,99.99,68.16,7.56,12.02,0.0457,0.00835,0.00448,0.1,1235456,44.42,12.8,2251
Nuevo León,2022-08-01,2022,8,27.34,80.36,73.4,11.0,17.34,0.04721,0.01556,0.00808,0.416,5784442,90.16,10.8,10252
Oaxaca,2022-08-01,2022,8,26.91,99.96,75.89,8.69,16.88,0.04057,0.013,0.00625,0.206,4132148,44.07,14.8,8250
Puebla,2022-08-01,2022,8,27.11,80.42,75.47,3.94,5.07,0.04271,0.001,0.00341,0.169,6583278,191.9,12.6,10384
Querétaro,2022-08-01,2022,8,29.57,94.76,59.66,10.99,22.38,0.03795,0.01461,0.008,0.138,2368467,202.71,11.2,5009
Quintana Roo,2022-08-01,2022,8,33.44,78.16,80.9,3.92,5.0,0.04302,0.00386,0.0011,0.1,1857985,41.56,9.5,2581
San Luis Potosí,2022-08-01,2022,8,26.29,99.01,69.3,8.4,9.24,0.03767,0.01132,0.00669,0.231,2822255,46.16,12.5,4636
Sinaloa,2022-08-01,2022,8,29.55,90.02,74.83,11.01,11.26,0.04728,0.01336,0.00548,0.282,3026943,52.77,12.0,5938
Sonora,2022-08-01,2022,8,34.64,27.08,50.78,4.49,8.57,0.03772,0.00689,0.00305,0.176,2944840,16.42,11.2,4885
Tabasco,2022-08-01,2022,8,33.4,212.21,99.02,10.87,15.28,0.03872,0.01494,0.00743,0.331,2402598,97.15,12.5,4664
Tamaulipas,2022-08-01,2022,8,27.84,92.91,80.67,5.81,5.0,0.04637,0.0064,0.00374,0.158,3527735,44.0,11.5,5528
Tlaxcala,2022-08-01,2022,8,27.4,72.85,82.16,9.35,22.61,0.03814,0.00954,0.00565,0.487,1342977,336.5,12.2,2623
Veracruz,2022-08-01,2022,8,27.2,196.79,91.4,5.84,5.0,0.0475,0.00564,0.00592,0.148,8062579,112.26,13.5,11764
Yucatán,2022-08-01,2022,8,32.85,87.57,85.79,8.48,11.6,0.04604,0.01411,0.00534,0.256,2320898,58.72,12.5,3890
Zacatecas,2022-08-01,2022,8,26.27,98.67,76.75,7.61,22.61,0.03862,0.01176,0.00717,0.305,1622138,21.55,12.8,2861
